			(0.03)			(0.02)			(0.03)			(0.09)			(0.08)			(0.06)*			(0.03)			(0.02)**			(0.04)			(0.03)*			(0.03)			(0.02)			(0.03)			(0.09)			(0.08)			(0.06)*			(0.03)			(0.02)**			(0.04)			(0.03)*
mothwout_r2			0.01			0.01			0.00			0.05			0.02			0.01			-0.02			-0.00			-0.05			-0.05			0.01			0.01			0.00			0.05			0.02			0.01			-0.02			-0.00			-0.05			-0.05
			(0.02)			(0.01)			(0.01)			(0.06)			(0.04)			(0.05)			(0.05)			(0.02)			(0.02)***			(0.02)**			(0.02)			(0.01)			(0.01)			(0.06)			(0.04)			(0.05)			(0.05)			(0.02)			(0.02)***			(0.02)**
pcuweek_r1						0.07																														0.07																								
						(0.03)**																														(0.03)**																								
pcuyest_r1									0.11																														0.11																					
									(0.02)***																														(0.02)***																					
stpcotskill_r1															0.26																														0.26															
															(0.02)***																														(0.02)***															
stpcsrskill_r1																		0.31																														0.31												
																		(0.02)***																														(0.02)***												
straven_r1																					0.52																														0.52									
																					(0.03)***																														(0.03)***									
friendh_r1																								0.36																														0.36						
																								(0.04)***																														(0.04)***						
efforth_r1																											0.47																														0.47			
																											(0.02)***																														(0.02)***			
eduexpt_r1																														0.49																														0.49
																														(0.03)***																														(0.03)***
Constant	0.52	0.48	0.22	0.91	0.90	0.69	0.73	0.73	0.53	0.07	-0.09	-0.08	0.07	-0.09	-0.06	0.03	-0.04	-0.63	0.03	-0.04	0.05	0.61	0.47	0.15	0.52	0.40	0.27	0.69	0.57	0.81	0.52	0.48	0.22	0.91	0.90	0.69	0.73	0.73	0.53	0.07	-0.09	-0.08	0.07	-0.09	-0.06	0.03	-0.04	-0.63	0.03	-0.04	0.05	0.61	0.47	0.15	0.52	0.40	0.27	0.69	0.57	0.81
	(0.01)	(0.02)	(0.14)	(0.01)	(0.01)	(0.07)***	(0.01)	(0.01)	(0.16)***	(0.03)	(0.03)	(0.22)	(0.03)	(0.03)	(0.29)	(0.03)	(0.03)	(0.19)***	(0.03)	(0.03)	(0.28)	(0.01)	(0.02)	(0.11)	(0.01)	(0.02)	(0.07)***	(0.01)	(0.02)	(0.10)***	(0.01)	(0.02)	(0.14)	(0.01)	(0.01)	(0.07)***	(0.01)	(0.01)	(0.16)***	(0.03)	(0.03)	(0.22)	(0.03)	(0.03)	(0.29)	(0.03)	(0.03)	(0.19)***	(0.03)	(0.03)	(0.28)	(0.01)	(0.02)	(0.11)	(0.01)	(0.02)	(0.07)***	(0.01)	(0.02)	(0.10)***
																																																												
Observations	1,237	1,004	2,241	1,207	986	2,193	1,237	1,004	2,241	1,198	955	2,153	1,237	1,004	2,241	1,237	1,004	2,241	1,163	938	2,101	1,208	986	2,194	1,208	986	2,194	1,204	986	2,190	1,237	1,004	2,241	1,207	986	2,193	1,237	1,004	2,241	1,198	955	2,153	1,237	1,004	2,241	1,237	1,004	2,241	1,163	938	2,101	1,208	986	2,194	1,208	986	2,194	1,204	986	2,190
R-squared	0.00	0.00	0.33	0.00	0.00	0.14	0.00	0.00	0.18	0.00	0.00	0.25	0.00	0.00	0.22	0.00	0.00	0.28	0.00	0.00	0.40	0.00	0.00	0.34	0.00	0.00	0.40	0.00	0.00	0.44	0.00	0.00	0.33	0.00	0.00	0.14	0.00	0.00	0.18	0.00	0.00	0.25	0.00	0.00	0.22	0.00	0.00	0.28	0.00	0.00	0.40	0.00	0.00	0.34	0.00	0.00	0.40	0.00	0.00	0.44
Standard errors in parentheses																																																												
