	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)
VARIABLES	pchome_r2	pchome_r2	pchome_r2	pcuweek_r2	pcuweek_r2	pcuweek_r2	pcuyest_r2	pcuyest_r2	pcuyest_r2	stxo_r2	stxo_r2	stxo_r2	stpcotskill_r2	stpcotskill_r2	stpcotskill_r2	stpcsrskill_r2	stpcsrskill_r2	stpcsrskill_r2	straven_r2	straven_r2	straven_r2	friendh_r2	friendh_r2	friendh_r2	efforth_r2	efforth_r2	efforth_r2	eduexpt_r2	eduexpt_r2	eduexpt_r2	pchome_r2	pchome_r2	pchome_r2	pcuweek_r2	pcuweek_r2	pcuweek_r2	pcuyest_r2	pcuyest_r2	pcuyest_r2	stxo_r2	stxo_r2	stxo_r2	stpcotskill_r2	stpcotskill_r2	stpcotskill_r2	stpcsrskill_r2	stpcsrskill_r2	stpcsrskill_r2	straven_r2	straven_r2	straven_r2	friendh_r2	friendh_r2	friendh_r2	efforth_r2	efforth_r2	efforth_r2	eduexpt_r2	eduexpt_r2	eduexpt_r2
pcuyest_r1									0.06																														0.06																					
									(0.04)*																														(0.04)*																					
stpcotskill_r1															0.26																														0.26															
															(0.06)***																														(0.06)***															
stpcsrskill_r1																		0.25																														0.25												
																		(0.05)***																														(0.05)***												
straven_r1																					0.52																														0.52									
																					(0.11)***																														(0.11)***									
friendh_r1																								0.42																														0.42						
																								(0.06)***																														(0.06)***						
efforth_r1																											0.43																														0.43			
																											(0.06)***																														(0.06)***			
eduexpt_r1																														0.41																														0.41
																														(0.05)***																														(0.05)***
Constant	0.90	0.89	0.75	0.95	0.96	0.85	0.81	0.81	0.68	0.83	0.74	2.43	0.01	0.02	0.15	-0.02	0.02	-0.29	0.11	-0.03	1.99	0.54	0.50	0.29	0.46	0.38	0.67	0.63	0.61	1.10	0.90	0.89	0.75	0.95	0.96	0.85	0.81	0.81	0.68	0.83	0.74	2.43	0.01	0.02	0.15	-0.02	0.02	-0.29	0.11	-0.03	1.99	0.54	0.50	0.29	0.46	0.38	0.67	0.63	0.61	1.10
	(0.02)	(0.02)	(0.28)**	(0.01)	(0.01)	(0.09)***	(0.02)	(0.02)	(0.29)**	(0.07)	(0.07)	(0.74)***	(0.06)	(0.06)	(0.83)	(0.06)	(0.05)	(0.64)	(0.05)	(0.06)	(0.75)**	(0.03)	(0.03)	(0.45)	(0.03)	(0.03)	(0.41)	(0.03)	(0.03)	(0.44)**	(0.02)	(0.02)	(0.28)**	(0.01)	(0.01)	(0.09)***	(0.02)	(0.02)	(0.29)**	(0.07)	(0.07)	(0.74)***	(0.06)	(0.06)	(0.83)	(0.06)	(0.05)	(0.64)	(0.05)	(0.06)	(0.75)**	(0.03)	(0.03)	(0.45)	(0.03)	(0.03)	(0.41)	(0.03)	(0.03)	(0.44)**
																																																												
Observations	315	295	610	308	290	598	315	295	610	301	283	584	315	295	610	315	295	610	298	271	569	306	286	592	306	287	593	305	286	591	315	295	610	308	290	598	315	295	610	301	283	584	315	295	610	315	295	610	298	271	569	306	286	592	306	287	593	305	286	591
R-squared	0.00	0.00	0.36	0.00	0.00	0.31	0.00	0.00	0.37	0.00	0.00	0.42	0.00	0.00	0.42	0.00	0.00	0.48	0.00	0.00	0.57	0.00	0.00	0.48	0.00	0.00	0.51	0.00	0.00	0.53	0.00	0.00	0.36	0.00	0.00	0.31	0.00	0.00	0.37	0.00	0.00	0.42	0.00	0.00	0.42	0.00	0.00	0.48	0.00	0.00	0.57	0.00	0.00	0.48	0.00	0.00	0.51	0.00	0.00	0.53
Standard errors in parentheses																																																												
