	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)
VARIABLES	uthelpho_r2	uthelpho_r2	uthelpho_r2	utcaring_r2	utcaring_r2	utcaring_r2	utshopp_r2	utshopp_r2	utshopp_r2	utwstree_r2	utwstree_r2	utwstree_r2	utwstore_r2	utwstore_r2	utwstore_r2	uthwork_r2	uthwork_r2	uthwork_r2	utplay_r2	utplay_r2	utplay_r2	utwattv_r2	utwattv_r2	utwattv_r2	utread_r2	utread_r2	utread_r2	wfrndbest_r2	wfrndbest_r2	wfrndbest_r2	wfrndvist_r2	wfrndvist_r2	wfrndvist_r2	wfrndwork_r2	wfrndwork_r2	wfrndwork_r2	wfrndtot_r2	wfrndtot_r2	wfrndtot_r2	uthelpho_r2	uthelpho_r2	uthelpho_r2	utcaring_r2	utcaring_r2	utcaring_r2	utshopp_r2	utshopp_r2	utshopp_r2	utwstree_r2	utwstree_r2	utwstree_r2	utwstore_r2	utwstore_r2	utwstore_r2	uthwork_r2	uthwork_r2	uthwork_r2	utplay_r2	utplay_r2	utplay_r2	utwattv_r2	utwattv_r2	utwattv_r2	utread_r2	utread_r2	utread_r2	wfrndbest_r2	wfrndbest_r2	wfrndbest_r2	wfrndvist_r2	wfrndvist_r2	wfrndvist_r2	wfrndwork_r2	wfrndwork_r2	wfrndwork_r2	wfrndtot_r2	wfrndtot_r2	wfrndtot_r2
fathwout_r2			-0.03			0.07			-0.00			-0.00			-0.02			0.05			0.07			0.02			0.00			0.26			0.19			-0.00			0.29			-0.03			0.07			-0.00			-0.00			-0.02			0.05			0.07			0.02			0.00			0.26			0.19			-0.00			0.29
			(0.05)			(0.03)*			(0.04)			(0.01)			(0.02)			(0.02)**			(0.02)***			(0.02)			(0.04)			(0.16)			(0.08)**			(0.11)			(0.19)			(0.05)			(0.03)*			(0.04)			(0.01)			(0.02)			(0.02)**			(0.02)***			(0.02)			(0.04)			(0.16)			(0.08)**			(0.11)			(0.19)
mothwout_r2			0.05			0.01			0.02			0.01			0.02			-0.01			-0.01			-0.02			0.00			-0.00			-0.03			0.00			-0.03			0.05			0.01			0.02			0.01			0.02			-0.01			-0.01			-0.02			0.00			-0.00			-0.03			0.00			-0.03
			(0.02)*			(0.01)			(0.02)			(0.01)			(0.01)*			(0.01)			(0.01)			(0.01)			(0.03)			(0.07)			(0.08)			(0.06)			(0.09)			(0.02)*			(0.01)			(0.02)			(0.01)			(0.01)*			(0.01)			(0.01)			(0.01)			(0.03)			(0.07)			(0.08)			(0.06)			(0.09)
utcaring_r1						0.22																																							0.22																																	
						(0.02)***																																							(0.02)***																																	
utshopp_r1									0.18																																							0.18																														
									(0.03)***																																							(0.03)***																														
utwstree_r1												0.07																																							0.07																											
												(0.03)**																																							(0.03)**																											
utwstore_r1															0.22																																							0.22																								
															(0.03)***																																							(0.03)***																								
uthwork_r1																		0.11																																							0.11																					
																		(0.03)***																																							(0.03)***																					
utplay_r1																					0.14																																							0.14																		
																					(0.01)***																																							(0.01)***																		
utwattv_r1																								0.15																																							0.15															
																								(0.03)***																																							(0.03)***															
utread_r1																											0.23																																							0.23												
																											(0.02)***																																							(0.02)***												
wfrndbest_r1																														0.50																																							0.50									
																														(0.02)***																																							(0.02)***									
wfrndvist_r1																																	0.38																																							0.38						
																																	(0.03)***																																							(0.03)***						
wfrndwork_r1																																				0.24																																							0.24			
																																				(0.03)***																																							(0.03)***			
wfrndtot_r1																																							0.49																																							0.49
																																							(0.02)***																																							(0.02)***
Constant	0.56	0.52	0.02	0.47	0.51	0.37	0.37	0.41	0.03	0.03	0.03	-0.02	0.15	0.15	-0.19	0.94	0.95	0.94	0.79	0.83	0.71	0.88	0.88	0.79	0.59	0.65	0.35	3.40	3.44	0.91	1.86	1.87	2.23	1.95	1.97	1.59	4.88	4.93	2.20	0.56	0.52	0.02	0.47	0.51	0.37	0.37	0.41	0.03	0.03	0.03	-0.02	0.15	0.15	-0.19	0.94	0.95	0.94	0.79	0.83	0.71	0.88	0.88	0.79	0.59	0.65	0.35	3.40	3.44	0.91	1.86	1.87	2.23	1.95	1.97	1.59	4.88	4.93	2.20
	(0.02)	(0.01)	(0.12)	(0.02)	(0.01)	(0.14)**	(0.02)	(0.01)	(0.09)	(0.01)	(0.00)	(0.05)	(0.01)	(0.01)	(0.11)*	(0.01)	(0.00)	(0.06)***	(0.02)	(0.01)	(0.15)***	(0.01)	(0.01)	(0.12)***	(0.02)	(0.01)	(0.13)**	(0.09)	(0.05)	(0.43)*	(0.08)	(0.04)	(0.57)***	(0.07)	(0.04)	(0.59)**	(0.12)	(0.06)	(0.84)**	(0.02)	(0.01)	(0.12)	(0.02)	(0.01)	(0.14)**	(0.02)	(0.01)	(0.09)	(0.01)	(0.00)	(0.05)	(0.01)	(0.01)	(0.11)*	(0.01)	(0.00)	(0.06)***	(0.02)	(0.01)	(0.15)***	(0.01)	(0.01)	(0.12)***	(0.02)	(0.01)	(0.13)**	(0.09)	(0.05)	(0.43)*	(0.08)	(0.04)	(0.57)***	(0.07)	(0.04)	(0.59)**	(0.12)	(0.06)	(0.84)**
																																																																														
Observations	580	2,154	2,734	580	2,149	2,729	583	2,151	2,734	579	2,152	2,731	579	2,144	2,723	580	2,153	2,733	582	2,156	2,738	582	2,153	2,735	581	2,149	2,730	610	2,241	2,851	610	2,241	2,851	610	2,241	2,851	610	2,241	2,851	580	2,154	2,734	580	2,149	2,729	583	2,151	2,734	579	2,152	2,731	579	2,144	2,723	580	2,153	2,733	582	2,156	2,738	582	2,153	2,735	581	2,149	2,730	610	2,241	2,851	610	2,241	2,851	610	2,241	2,851	610	2,241	2,851
R-squared	0.00	0.00	0.17	0.00	0.00	0.19	0.00	0.00	0.13	0.00	0.00	0.09	0.00	0.00	0.14	0.00	0.00	0.12	0.00	0.00	0.11	0.00	0.00	0.13	0.00	0.00	0.13	0.00	0.00	0.30	0.00	0.00	0.26	0.00	0.00	0.23	0.00	0.00	0.36	0.00	0.00	0.17	0.00	0.00	0.19	0.00	0.00	0.13	0.00	0.00	0.09	0.00	0.00	0.14	0.00	0.00	0.12	0.00	0.00	0.11	0.00	0.00	0.13	0.00	0.00	0.13	0.00	0.00	0.30	0.00	0.00	0.26	0.00	0.00	0.23	0.00	0.00	0.36
Standard errors in parentheses																																																																														
