	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)
VARIABLES	pchome_r2	pchome_r2	pchome_r2	pcuweek_r2	pcuweek_r2	pcuweek_r2	pcuyest_r2	pcuyest_r2	pcuyest_r2	pcuwsch_r2	pcuwsch_r2	pcuwsch_r2	pcuwhome_r2	pcuwhome_r2	pcuwhome_r2	pcuwcafe_r2	pcuwcafe_r2	pcuwcafe_r2	pcuwfri_r2	pcuwfri_r2	pcuwfri_r2	pcuytwsch_r2	pcuytwsch_r2	pcuytwsch_r2	pcuytwhome_r2	pcuytwhome_r2	pcuytwhome_r2	pcuytwcafe_r2	pcuytwcafe_r2	pcuytwcafe_r2	pcuytwfri_r2	pcuytwfri_r2	pcuytwfri_r2	pcthwork_r2	pcthwork_r2	pcthwork_r2	pctgame_r2	pctgame_r2	pctgame_r2	pctmusic_r2	pctmusic_r2	pctmusic_r2	pctvideo_r2	pctvideo_r2	pctvideo_r2	inthome_r2	inthome_r2	inthome_r2	intuweek_r2	intuweek_r2	intuweek_r2	pchome_r2	pchome_r2	pchome_r2	pcuweek_r2	pcuweek_r2	pcuweek_r2	pcuyest_r2	pcuyest_r2	pcuyest_r2	pcuwsch_r2	pcuwsch_r2	pcuwsch_r2	pcuwhome_r2	pcuwhome_r2	pcuwhome_r2	pcuwcafe_r2	pcuwcafe_r2	pcuwcafe_r2	pcuwfri_r2	pcuwfri_r2	pcuwfri_r2	pcuytwsch_r2	pcuytwsch_r2	pcuytwsch_r2	pcuytwhome_r2	pcuytwhome_r2	pcuytwhome_r2	pcuytwcafe_r2	pcuytwcafe_r2	pcuytwcafe_r2	pcuytwfri_r2	pcuytwfri_r2	pcuytwfri_r2	pcthwork_r2	pcthwork_r2	pcthwork_r2	pctgame_r2	pctgame_r2	pctgame_r2	pctmusic_r2	pctmusic_r2	pctmusic_r2	pctvideo_r2	pctvideo_r2	pctvideo_r2	inthome_r2	inthome_r2	inthome_r2	intuweek_r2	intuweek_r2	intuweek_r2
			(0.01)			(0.01)			(0.01)			(0.01)*			(0.01)*			(0.01)			(0.01)			(0.82)			(1.50)			(1.41)			(0.73)			(0.01)			(0.01)			(0.01)**			(0.01)			(0.01)**			(0.01)*			(0.01)			(0.01)			(0.01)			(0.01)*			(0.01)*			(0.01)			(0.01)			(0.82)			(1.50)			(1.41)			(0.73)			(0.01)			(0.01)			(0.01)**			(0.01)			(0.01)**			(0.01)*
fathlivh_r2			0.03			0.01			0.01			-0.02			0.03			-0.05			0.01			-2.39			7.17			-6.15			0.28			0.06			0.02			0.01			0.01			0.02			0.02			0.03			0.01			0.01			-0.02			0.03			-0.05			0.01			-2.39			7.17			-6.15			0.28			0.06			0.02			0.01			0.01			0.02			0.02
			(0.02)			(0.01)			(0.03)			(0.02)			(0.03)			(0.04)			(0.02)			(2.67)			(3.02)**			(4.03)			(1.91)			(0.02)**			(0.02)			(0.02)			(0.03)			(0.02)			(0.02)			(0.02)			(0.01)			(0.03)			(0.02)			(0.03)			(0.04)			(0.02)			(2.67)			(3.02)**			(4.03)			(1.91)			(0.02)**			(0.02)			(0.02)			(0.03)			(0.02)			(0.02)
fathwout_r2			0.04			-0.01			0.02			0.00			0.03			0.05			-0.04			0.54			8.31			3.91			-0.06			0.02			0.07			0.05			0.04			0.03			0.01			0.04			-0.01			0.02			0.00			0.03			0.05			-0.04			0.54			8.31			3.91			-0.06			0.02			0.07			0.05			0.04			0.03			0.01
			(0.03)			(0.02)			(0.02)			(0.04)			(0.04)			(0.02)*			(0.02)*			(2.35)			(3.97)*			(3.38)			(1.59)			(0.03)			(0.02)***			(0.03)			(0.03)			(0.03)			(0.02)			(0.03)			(0.02)			(0.02)			(0.04)			(0.04)			(0.02)*			(0.02)*			(2.35)			(3.97)*			(3.38)			(1.59)			(0.03)			(0.02)***			(0.03)			(0.03)			(0.03)			(0.02)
mothwout_r2			0.01			0.00			-0.01			0.01			0.01			0.03			0.01			-3.22			-2.84			0.27			1.68			-0.01			0.03			0.00			0.02			0.01			-0.00			0.01			0.00			-0.01			0.01			0.01			0.03			0.01			-3.22			-2.84			0.27			1.68			-0.01			0.03			0.00			0.02			0.01			-0.00
			(0.02)			(0.01)			(0.01)			(0.02)			(0.02)			(0.01)*			(0.02)			(1.02)***			(2.87)			(2.26)			(2.26)			(0.02)			(0.01)**			(0.02)			(0.01)			(0.02)			(0.02)			(0.02)			(0.01)			(0.01)			(0.02)			(0.02)			(0.01)*			(0.02)			(1.02)***			(2.87)			(2.26)			(2.26)			(0.02)			(0.01)**			(0.02)			(0.01)			(0.02)			(0.02)
pcuweek_r1						0.07																																																			0.07																																													
						(0.02)***																																																			(0.02)***																																													
pcuyest_r1									0.10																																																			0.10																																										
									(0.02)***																																																			(0.02)***																																										
pcuwsch_r1												0.11																																																			0.11																																							
												(0.02)***																																																			(0.02)***																																							
pcuwhome_r1															0.30																																																			0.30																																				
															(0.01)***																																																			(0.01)***																																				
pcuwcafe_r1																		0.21																																																			0.21																																	
																		(0.02)***																																																			(0.02)***																																	
pcuwfri_r1																					0.16																																																			0.16																														
																					(0.02)***																																																			(0.02)***																														
pcuytwsch_r1																								0.03																																																			0.03																											
																								(0.02)																																																			(0.02)																											
pcuytwhome_r1																											0.13																																																			0.13																								
																											(0.02)***																																																			(0.02)***																								
pcuytwcafe_r1																														0.07																																																			0.07																					
																														(0.02)***																																																			(0.02)***																					
pcuytwfri_r1																																	0.04																																																			0.04																		
																																	(0.02)**																																																			(0.02)**																		
pcthwork_r1																																				0.17																																																			0.17															
																																				(0.02)***																																																			(0.02)***															
pctgame_r1																																							0.17																																																			0.17												
