	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)
VARIABLES	age_r2	age_r2	age_r2	male_r2	male_r2	male_r2	sibling_r2	sibling_r2	sibling_r2	fathlivh_r2	fathlivh_r2	fathlivh_r2	fathwout_r2	fathwout_r2	fathwout_r2	mothwout_r2	mothwout_r2	mothwout_r2	phone_r2	phone_r2	phone_r2	electri_r2	electri_r2	electri_r2	car_r2	car_r2	car_r2	pchome_r1	pchome_r1	pchome_r1	inthome_r1	inthome_r1	inthome_r1	stpcotskill_r1	stpcotskill_r1	stpcotskill_r1	stpcsrskill_r1	stpcsrskill_r1	stpcsrskill_r1	straven_r1	straven_r1	straven_r1
																																										
tcol			-0.06			-0.00			-0.35			-0.01			0.02			-0.01			0.04			-0.02			-0.06			0.04			0.04			0.05			0.17			0.28
			(0.12)			(0.06)			(0.21)			(0.05)			(0.03)			(0.07)			(0.06)			(0.04)			(0.05)			(0.06)			(0.05)			(0.06)			(0.13)			(0.12)**
wfrndtotplott_r1			-0.02			-0.02			0.03			0.01			-0.01			-0.01			-0.00			0.00			0.01			-0.00			-0.02			-0.00			0.01			-0.01
			(0.02)			(0.01)			(0.06)			(0.01)			(0.01)			(0.01)			(0.02)			(0.01)			(0.01)			(0.01)			(0.01)			(0.02)			(0.01)			(0.02)
Constant	9.93	10.08	10.12	0.47	0.51	0.55	2.29	2.29	2.34	0.77	0.77	0.72	0.86	0.89	0.90	0.51	0.51	0.56	0.48	0.42	0.44	0.91	0.90	0.89	0.23	0.27	0.25	0.44	0.39	0.41	0.30	0.31	0.35	-0.04	-0.08	-0.09	0.06	-0.08	-0.11	0.07	-0.04	-0.11
	(0.08)	(0.08)	(0.09)***	(0.03)	(0.03)	(0.04)***	(0.09)	(0.09)	(0.20)***	(0.02)	(0.02)	(0.05)***	(0.02)	(0.02)	(0.04)***	(0.03)	(0.03)	(0.03)***	(0.03)	(0.03)	(0.05)***	(0.02)	(0.02)	(0.03)***	(0.02)	(0.03)	(0.04)***	(0.03)	(0.03)	(0.05)***	(0.03)	(0.03)	(0.04)***	(0.05)	(0.06)	(0.08)	(0.05)	(0.06)	(0.08)	(0.05)	(0.06)	(0.10)
																																										
Observations	315	295	610	315	295	610	315	295	610	315	295	610	315	295	610	315	295	610	302	285	587	309	289	598	300	289	589	315	295	610	314	289	603	315	295	610	315	295	610	298	271	569
R-squared	0.00	0.00	0.78	0.00	0.00	0.29	0.00	0.00	0.34	0.00	0.00	0.32	0.00	0.00	0.31	0.00	0.00	0.33	0.00	0.00	0.33	0.00	0.00	0.34	0.00	0.00	0.30	0.00	0.00	0.35	0.00	0.00	0.35	0.00	0.00	0.33	0.00	0.00	0.34	0.00	0.00	0.38
Standard errors in parentheses																																										
